Subject,Time,Type,Variable,Score_Rater1,Score_Rater2
13,Pre,KC,Heritability,0,0
14,Pre,KC,Heritability,0,0
15,Pre,KC,Heritability,1,1
16,Pre,KC,Heritability,1,0
17,Pre,KC,Heritability,0,0
18,Pre,KC,Heritability,1,0
19,Pre,KC,Heritability,0,0
20,Pre,KC,Heritability,1,0
21,Pre,KC,Heritability,1,1
22,Pre,KC,Heritability,0,0
23,Pre,KC,Heritability,1,0
24,Pre,KC,Heritability,0,0
25,Pre,KC,Heritability,0,0
27,Pre,KC,Heritability,0,0
28,Pre,KC,Heritability,1,1
29,Pre,KC,Heritability,1,1
30,Pre,KC,Heritability,1,0
32,Pre,KC,Heritability,0,0
33,Pre,KC,Heritability,1,1
34,Pre,KC,Heritability,1,0
35,Pre,KC,Heritability,0,0
36,Pre,KC,Heritability,1,0
37,Pre,KC,Heritability,1,0
38,Pre,KC,Heritability,1,0
39,Pre,KC,Heritability,1,0
1,Post,KC,Heritability,0,0
4,Post,KC,Heritability,1,0
5,Post,KC,Heritability,1,1
6,Post,KC,Heritability,0,0
7,Post,KC,Heritability,1,0
8,Post,KC,Heritability,1,0
9,Post,KC,Heritability,0,0
11,Post,KC,Heritability,1,1
12,Post,KC,Heritability,1,0
13,Post,KC,Heritability,0,0
14,Post,KC,Heritability,1,1
15,Post,KC,Heritability,0,0
16,Post,KC,Heritability,1,0
17,Post,KC,Heritability,0,0
18,Post,KC,Heritability,1,1
19,Post,KC,Heritability,1,0
20,Post,KC,Heritability,0,0
21,Post,KC,Heritability,1,1
22,Post,KC,Heritability,1,1
23,Post,KC,Heritability,0,0
24,Post,KC,Heritability,0,0
25,Post,KC,Heritability,1,1
27,Post,KC,Heritability,1,0
28,Post,KC,Heritability,0,1
29,Post,KC,Heritability,0,0
30,Post,KC,Heritability,1,1
32,Post,KC,Heritability,1,0
33,Post,KC,Heritability,1,1
34,Post,KC,Heritability,1,1
35,Post,KC,Heritability,0,0
36,Post,KC,Heritability,1,1
37,Post,KC,Heritability,1,0
38,Post,KC,Heritability,0,0
39,Post,KC,Heritability,1,1
1,Pre,KC,Competition,1,0
4,Pre,KC,Competition,0,0
5,Pre,KC,Competition,0,0
6,Pre,KC,Competition,0,0
7,Pre,KC,Competition,0,0
8,Pre,KC,Competition,0,0
9,Pre,KC,Competition,0,0
11,Pre,KC,Competition,0,0
12,Pre,KC,Competition,0,0
13,Pre,KC,Competition,0,0
14,Pre,KC,Competition,0,0
15,Pre,KC,Competition,0,0
16,Pre,KC,Competition,0,0
17,Pre,KC,Competition,0,0
18,Pre,KC,Competition,0,0
19,Pre,KC,Competition,0,0
20,Pre,KC,Competition,0,0
21,Pre,KC,Competition,0,0
22,Pre,KC,Competition,0,0
23,Pre,KC,Competition,0,0
24,Pre,KC,Competition,0,0
25,Pre,KC,Competition,0,0
27,Pre,KC,Competition,0,0
28,Pre,KC,Competition,0,0
29,Pre,KC,Competition,0,0
30,Pre,KC,Competition,0,0
32,Pre,KC,Competition,0,0
33,Pre,KC,Competition,0,0
34,Pre,KC,Competition,0,0
35,Pre,KC,Competition,0,0
36,Pre,KC,Competition,0,0
37,Pre,KC,Competition,0,0
38,Pre,KC,Competition,0,0
39,Pre,KC,Competition,0,0
1,Post,KC,Competition,0,0
4,Post,KC,Competition,0,0
5,Post,KC,Competition,0,0
6,Post,KC,Competition,0,0
7,Post,KC,Competition,0,0
8,Post,KC,Competition,0,0
9,Post,KC,Competition,0,0
11,Post,KC,Competition,0,0
12,Post,KC,Competition,0,0
13,Post,KC,Competition,0,0
14,Post,KC,Competition,0,0
15,Post,KC,Competition,0,0
16,Post,KC,Competition,1,1
17,Post,KC,Competition,0,0
18,Post,KC,Competition,0,0
19,Post,KC,Competition,0,0
20,Post,KC,Competition,1,0
21,Post,KC,Competition,0,0
22,Post,KC,Competition,0,0
23,Post,KC,Competition,1,1
24,Post,KC,Competition,0,0
25,Post,KC,Competition,0,0
27,Post,KC,Competition,0,0
28,Post,KC,Competition,0,0
29,Post,KC,Competition,0,0
30,Post,KC,Competition,0,0
32,Post,KC,Competition,0,0
33,Post,KC,Competition,0,0
34,Post,KC,Competition,0,0
35,Post,KC,Competition,0,0
36,Post,KC,Competition,1,0
37,Post,KC,Competition,0,0
38,Post,KC,Competition,0,0
39,Post,KC,Competition,0,0
1,Pre,KC,LimitedResources,1,1
4,Pre,KC,LimitedResources,0,0
5,Pre,KC,LimitedResources,0,0
6,Pre,KC,LimitedResources,0,0
7,Pre,KC,LimitedResources,0,0
8,Pre,KC,LimitedResources,0,0
9,Pre,KC,LimitedResources,0,0
11,Pre,KC,LimitedResources,0,0
12,Pre,KC,LimitedResources,0,0
13,Pre,KC,LimitedResources,0,0
14,Pre,KC,LimitedResources,0,0
15,Pre,KC,LimitedResources,0,0
16,Pre,KC,LimitedResources,0,0
17,Pre,KC,LimitedResources,0,0
18,Pre,KC,LimitedResources,0,0
19,Pre,KC,LimitedResources,0,0
20,Pre,KC,LimitedResources,0,0
21,Pre,KC,LimitedResources,0,0
22,Pre,KC,LimitedResources,0,0
23,Pre,KC,LimitedResources,0,0
24,Pre,KC,LimitedResources,0,0
25,Pre,KC,LimitedResources,0,0
27,Pre,KC,LimitedResources,0,0
28,Pre,KC,LimitedResources,0,0
29,Pre,KC,LimitedResources,0,0
30,Pre,KC,LimitedResources,0,0
32,Pre,KC,LimitedResources,0,0
33,Pre,KC,LimitedResources,0,0
34,Pre,KC,LimitedResources,0,0
35,Pre,KC,LimitedResources,0,0
36,Pre,KC,LimitedResources,0,0
37,Pre,KC,LimitedResources,0,0
38,Pre,KC,LimitedResources,0,0
39,Pre,KC,LimitedResources,0,0
1,Post,KC,LimitedResources,1,1
4,Post,KC,LimitedResources,0,0
5,Post,KC,LimitedResources,0,0
6,Post,KC,LimitedResources,0,0
7,Post,KC,LimitedResources,0,0
8,Post,KC,LimitedResources,0,0
9,Post,KC,LimitedResources,0,0
11,Post,KC,LimitedResources,0,0
12,Post,KC,LimitedResources,0,0
13,Post,KC,LimitedResources,0,0
14,Post,KC,LimitedResources,0,0
15,Post,KC,LimitedResources,0,0
16,Post,KC,LimitedResources,1,0
17,Post,KC,LimitedResources,0,0
18,Post,KC,LimitedResources,0,0
19,Post,KC,LimitedResources,0,0
20,Post,KC,LimitedResources,0,0
21,Post,KC,LimitedResources,0,0
22,Post,KC,LimitedResources,0,0
23,Post,KC,LimitedResources,1,1
24,Post,KC,LimitedResources,0,0
25,Post,KC,LimitedResources,0,0
27,Post,KC,LimitedResources,0,0
28,Post,KC,LimitedResources,0,0
29,Post,KC,LimitedResources,0,0
30,Post,KC,LimitedResources,0,0
32,Post,KC,LimitedResources,0,0
33,Post,KC,LimitedResources,0,0
34,Post,KC,LimitedResources,0,0
35,Post,KC,LimitedResources,0,0
36,Post,KC,LimitedResources,1,0
37,Post,KC,LimitedResources,0,0
38,Post,KC,LimitedResources,0,0
39,Post,KC,LimitedResources,0,0
1,Pre,KC,DiffSurvival,1,0
4,Pre,KC,DiffSurvival,1,1
5,Pre,KC,DiffSurvival,0,0
6,Pre,KC,DiffSurvival,0,0
7,Pre,KC,DiffSurvival,1,0
8,Pre,KC,DiffSurvival,1,0
9,Pre,KC,DiffSurvival,1,0
11,Pre,KC,DiffSurvival,1,1
12,Pre,KC,DiffSurvival,0,1
13,Pre,KC,DiffSurvival,0,0
14,Pre,KC,DiffSurvival,1,1
15,Pre,KC,DiffSurvival,1,0
16,Pre,KC,DiffSurvival,1,1
17,Pre,KC,DiffSurvival,0,1
18,Pre,KC,DiffSurvival,1,1
19,Pre,KC,DiffSurvival,1,0
20,Pre,KC,DiffSurvival,1,1
21,Pre,KC,DiffSurvival,0,0
22,Pre,KC,DiffSurvival,1,1
23,Pre,KC,DiffSurvival,1,1
24,Pre,KC,DiffSurvival,0,1
25,Pre,KC,DiffSurvival,1,0
27,Pre,KC,DiffSurvival,1,1
28,Pre,KC,DiffSurvival,1,1
29,Pre,KC,DiffSurvival,1,0
30,Pre,KC,DiffSurvival,1,0
32,Pre,KC,DiffSurvival,1,0
33,Pre,KC,DiffSurvival,1,0
34,Pre,KC,DiffSurvival,1,1
35,Pre,KC,DiffSurvival,1,1
36,Pre,KC,DiffSurvival,1,0
37,Pre,KC,DiffSurvival,1,1
38,Pre,KC,DiffSurvival,1,1
39,Pre,KC,DiffSurvival,1,0
1,Post,KC,DiffSurvival,1,1
4,Post,KC,DiffSurvival,1,0
5,Post,KC,DiffSurvival,1,0
6,Post,KC,DiffSurvival,0,0
7,Post,KC,DiffSurvival,1,1
8,Post,KC,DiffSurvival,1,0
9,Post,KC,DiffSurvival,1,0
11,Post,KC,DiffSurvival,1,1
12,Post,KC,DiffSurvival,1,1
13,Post,KC,DiffSurvival,0,0
14,Post,KC,DiffSurvival,1,1
15,Post,KC,DiffSurvival,1,0
16,Post,KC,DiffSurvival,1,0
17,Post,KC,DiffSurvival,0,0
18,Post,KC,DiffSurvival,1,1
19,Post,KC,DiffSurvival,1,0
20,Post,KC,DiffSurvival,1,1
21,Post,KC,DiffSurvival,1,1
22,Post,KC,DiffSurvival,1,0
23,Post,KC,DiffSurvival,1,1
24,Post,KC,DiffSurvival,0,0
25,Post,KC,DiffSurvival,1,1
27,Post,KC,DiffSurvival,1,0
28,Post,KC,DiffSurvival,1,1
29,Post,KC,DiffSurvival,1,1
30,Post,KC,DiffSurvival,0,1
32,Post,KC,DiffSurvival,1,0
33,Post,KC,DiffSurvival,1,1
34,Post,KC,DiffSurvival,1,0
35,Post,KC,DiffSurvival,1,0
36,Post,KC,DiffSurvival,1,0
37,Post,KC,DiffSurvival,1,0
38,Post,KC,DiffSurvival,1,0
39,Post,KC,DiffSurvival,0,0
1,Pre,KC,NonAdaptive,0,0
4,Pre,KC,NonAdaptive,0,0
5,Pre,KC,NonAdaptive,0,0
6,Pre,KC,NonAdaptive,0,0
7,Pre,KC,NonAdaptive,0,0
8,Pre,KC,NonAdaptive,0,0
9,Pre,KC,NonAdaptive,0,0
11,Pre,KC,NonAdaptive,0,0
12,Pre,KC,NonAdaptive,0,0
13,Pre,KC,NonAdaptive,0,0
14,Pre,KC,NonAdaptive,0,0
15,Pre,KC,NonAdaptive,0,0
16,Pre,KC,NonAdaptive,0,0
17,Pre,KC,NonAdaptive,0,0
18,Pre,KC,NonAdaptive,0,0
19,Pre,KC,NonAdaptive,0,0
20,Pre,KC,NonAdaptive,0,0
21,Pre,KC,NonAdaptive,0,0
22,Pre,KC,NonAdaptive,0,0
23,Pre,KC,NonAdaptive,0,0
24,Pre,KC,NonAdaptive,0,0
25,Pre,KC,NonAdaptive,0,0
27,Pre,KC,NonAdaptive,0,0
28,Pre,KC,NonAdaptive,0,0
29,Pre,KC,NonAdaptive,0,0
30,Pre,KC,NonAdaptive,0,0
32,Pre,KC,NonAdaptive,0,0
33,Pre,KC,NonAdaptive,0,0
34,Pre,KC,NonAdaptive,0,0
35,Pre,KC,NonAdaptive,0,0
36,Pre,KC,NonAdaptive,0,0
37,Pre,KC,NonAdaptive,0,0
38,Pre,KC,NonAdaptive,0,0
39,Pre,KC,NonAdaptive,0,0
1,Post,KC,NonAdaptive,0,0
4,Post,KC,NonAdaptive,0,0
5,Post,KC,NonAdaptive,0,0
6,Post,KC,NonAdaptive,0,0
7,Post,KC,NonAdaptive,0,0
8,Post,KC,NonAdaptive,0,0
9,Post,KC,NonAdaptive,0,0
11,Post,KC,NonAdaptive,0,0
12,Post,KC,NonAdaptive,0,0
13,Post,KC,NonAdaptive,0,0
14,Post,KC,NonAdaptive,0,0
15,Post,KC,NonAdaptive,0,0
16,Post,KC,NonAdaptive,0,0
17,Post,KC,NonAdaptive,0,0
18,Post,KC,NonAdaptive,0,0
19,Post,KC,NonAdaptive,0,0
20,Post,KC,NonAdaptive,0,0
21,Post,KC,NonAdaptive,0,0
22,Post,KC,NonAdaptive,0,0
23,Post,KC,NonAdaptive,0,0
24,Post,KC,NonAdaptive,0,0
25,Post,KC,NonAdaptive,0,0
27,Post,KC,NonAdaptive,0,0
28,Post,KC,NonAdaptive,0,0
29,Post,KC,NonAdaptive,0,0
30,Post,KC,NonAdaptive,0,0
32,Post,KC,NonAdaptive,0,0
33,Post,KC,NonAdaptive,0,0
34,Post,KC,NonAdaptive,0,0
35,Post,KC,NonAdaptive,0,0
36,Post,KC,NonAdaptive,0,0
37,Post,KC,NonAdaptive,0,0
38,Post,KC,NonAdaptive,0,0
39,Post,KC,NonAdaptive,0,0
1,Pre,Naive,Adapt,0,0
4,Pre,Naive,Adapt,1,0
5,Pre,Naive,Adapt,1,0
6,Pre,Naive,Adapt,0,0
7,Pre,Naive,Adapt,0,0
8,Pre,Naive,Adapt,0,0
9,Pre,Naive,Adapt,0,0
11,Pre,Naive,Adapt,0,0
12,Pre,Naive,Adapt,1,0
13,Pre,Naive,Adapt,0,1
14,Pre,Naive,Adapt,1,0
15,Pre,Naive,Adapt,0,0
16,Pre,Naive,Adapt,0,0
17,Pre,Naive,Adapt,0,0
18,Pre,Naive,Adapt,0,0
19,Pre,Naive,Adapt,0,1
20,Pre,Naive,Adapt,1,0
21,Pre,Naive,Adapt,0,0
22,Pre,Naive,Adapt,1,0
23,Pre,Naive,Adapt,0,0
24,Pre,Naive,Adapt,1,0
25,Pre,Naive,Adapt,0,0
27,Pre,Naive,Adapt,0,0
28,Pre,Naive,Adapt,0,0
29,Pre,Naive,Adapt,0,0
30,Pre,Naive,Adapt,0,0
32,Pre,Naive,Adapt,0,0
33,Pre,Naive,Adapt,0,0
34,Pre,Naive,Adapt,0,0
35,Pre,Naive,Adapt,0,0
36,Pre,Naive,Adapt,0,0
37,Pre,Naive,Adapt,0,0
38,Pre,Naive,Adapt,0,0
39,Pre,Naive,Adapt,0,0
1,Post,Naive,Adapt,0,0
4,Post,Naive,Adapt,0,0
5,Post,Naive,Adapt,0,0
6,Post,Naive,Adapt,0,0
7,Post,Naive,Adapt,0,0
8,Post,Naive,Adapt,1,0
9,Post,Naive,Adapt,0,0
11,Post,Naive,Adapt,0,0
12,Post,Naive,Adapt,1,0
13,Post,Naive,Adapt,0,0
14,Post,Naive,Adapt,0,0
15,Post,Naive,Adapt,0,0
16,Post,Naive,Adapt,0,0
17,Post,Naive,Adapt,0,0
18,Post,Naive,Adapt,0,0
19,Post,Naive,Adapt,0,0
20,Post,Naive,Adapt,0,0
21,Post,Naive,Adapt,0,0
22,Post,Naive,Adapt,1,0
23,Post,Naive,Adapt,0,0
24,Post,Naive,Adapt,0,0
25,Post,Naive,Adapt,0,0
27,Post,Naive,Adapt,0,0
28,Post,Naive,Adapt,0,0
29,Post,Naive,Adapt,0,0
30,Post,Naive,Adapt,0,0
32,Post,Naive,Adapt,0,0
33,Post,Naive,Adapt,0,0
34,Post,Naive,Adapt,0,0
35,Post,Naive,Adapt,0,0
36,Post,Naive,Adapt,0,0
37,Post,Naive,Adapt,0,0
38,Post,Naive,Adapt,0,0
39,Post,Naive,Adapt,0,0
1,Pre,Naive,Need,0,0
4,Pre,Naive,Need,0,0
5,Pre,Naive,Need,0,0
6,Pre,Naive,Need,0,0
7,Pre,Naive,Need,0,0
8,Pre,Naive,Need,0,0
9,Pre,Naive,Need,0,0
11,Pre,Naive,Need,0,0
12,Pre,Naive,Need,0,0
13,Pre,Naive,Need,0,0
14,Pre,Naive,Need,0,0
15,Pre,Naive,Need,0,0
16,Pre,Naive,Need,0,0
17,Pre,Naive,Need,0,0
18,Pre,Naive,Need,0,0
19,Pre,Naive,Need,0,0
20,Pre,Naive,Need,0,0
21,Pre,Naive,Need,0,0
22,Pre,Naive,Need,0,0
23,Pre,Naive,Need,0,0
24,Pre,Naive,Need,0,0
25,Pre,Naive,Need,0,0
27,Pre,Naive,Need,0,0
28,Pre,Naive,Need,0,0
29,Pre,Naive,Need,0,0
30,Pre,Naive,Need,0,0
32,Pre,Naive,Need,0,0
33,Pre,Naive,Need,0,0
34,Pre,Naive,Need,0,0
35,Pre,Naive,Need,0,0
36,Pre,Naive,Need,0,0
37,Pre,Naive,Need,0,0
38,Pre,Naive,Need,0,0
39,Pre,Naive,Need,0,0
1,Post,Naive,Need,1,0
4,Post,Naive,Need,0,0
5,Post,Naive,Need,0,0
6,Post,Naive,Need,0,0
7,Post,Naive,Need,0,0
8,Post,Naive,Need,0,0
9,Post,Naive,Need,0,0
11,Post,Naive,Need,0,0
12,Post,Naive,Need,0,0
13,Post,Naive,Need,0,0
14,Post,Naive,Need,0,0
15,Post,Naive,Need,0,0
16,Post,Naive,Need,0,0
17,Post,Naive,Need,0,0
18,Post,Naive,Need,0,0
19,Post,Naive,Need,0,0
20,Post,Naive,Need,0,0
21,Post,Naive,Need,0,0
22,Post,Naive,Need,0,0
23,Post,Naive,Need,0,0
24,Post,Naive,Need,1,0
25,Post,Naive,Need,0,0
27,Post,Naive,Need,0,0
28,Post,Naive,Need,0,0
29,Post,Naive,Need,0,0
30,Post,Naive,Need,0,0
32,Post,Naive,Need,0,0
33,Post,Naive,Need,0,0
34,Post,Naive,Need,0,0
35,Post,Naive,Need,0,0
36,Post,Naive,Need,0,0
37,Post,Naive,Need,0,0
38,Post,Naive,Need,0,0
39,Post,Naive,Need,0,0
1,Pre,Naive,Use,0,0
4,Pre,Naive,Use,0,0
5,Pre,Naive,Use,0,0
6,Pre,Naive,Use,0,0
7,Pre,Naive,Use,0,0
8,Pre,Naive,Use,0,0
9,Pre,Naive,Use,0,0
11,Pre,Naive,Use,0,0
12,Pre,Naive,Use,1,1
13,Pre,Naive,Use,0,0
14,Pre,Naive,Use,0,0
15,Pre,Naive,Use,0,0
16,Pre,Naive,Use,0,0
17,Pre,Naive,Use,0,0
18,Pre,Naive,Use,0,0
19,Pre,Naive,Use,0,0
20,Pre,Naive,Use,0,0
21,Pre,Naive,Use,0,0
22,Pre,Naive,Use,0,0
23,Pre,Naive,Use,0,0
24,Pre,Naive,Use,0,0
25,Pre,Naive,Use,0,0
27,Pre,Naive,Use,0,0
28,Pre,Naive,Use,0,0
29,Pre,Naive,Use,0,0
30,Pre,Naive,Use,0,0
32,Pre,Naive,Use,0,1
33,Pre,Naive,Use,1,1
34,Pre,Naive,Use,0,0
35,Pre,Naive,Use,0,0
36,Pre,Naive,Use,0,0
37,Pre,Naive,Use,0,0
38,Pre,Naive,Use,0,0
39,Pre,Naive,Use,0,0
1,Post,Naive,Use,0,0
4,Post,Naive,Use,0,0
5,Post,Naive,Use,1,0
6,Post,Naive,Use,0,0
7,Post,Naive,Use,0,0
8,Post,Naive,Use,0,0
9,Post,Naive,Use,0,0
11,Post,Naive,Use,0,0
12,Post,Naive,Use,0,0
13,Post,Naive,Use,0,0
14,Post,Naive,Use,0,0
15,Post,Naive,Use,0,0
16,Post,Naive,Use,0,0
17,Post,Naive,Use,0,0
18,Post,Naive,Use,0,0
19,Post,Naive,Use,0,0
20,Post,Naive,Use,0,0
21,Post,Naive,Use,0,0
22,Post,Naive,Use,0,0
23,Post,Naive,Use,0,0
24,Post,Naive,Use,0,0
25,Post,Naive,Use,0,0
27,Post,Naive,Use,0,0
28,Post,Naive,Use,0,0
29,Post,Naive,Use,0,0
30,Post,Naive,Use,0,0
32,Post,Naive,Use,0,0
33,Post,Naive,Use,0,0
34,Post,Naive,Use,0,0
35,Post,Naive,Use,0,0
36,Post,Naive,Use,0,0
37,Post,Naive,Use,0,0
38,Post,Naive,Use,0,0
39,Post,Naive,Use,0,0
