Subject,Time,KCVariation_Rater1,KCHeritability_Rater1,KCCompetition_Rater1,KCLimitedResources_Rater1,KCDiffSurvival_Rater1,KCNonAdaptive_Rater1,NIAdapt_Rater1,NINeed_Rater1,NIUse_Rater1,KCScore_Rater1,NIScore_Rater1,KCVariation_Rater2,KCHeritability_Rater2,KCCompetition_Rater2,KCLimitedResources_Rater2,KCDiffSurvival_Rater2,KCNonAdaptive_Rater2,NIAdapt_Rater2,NINeed_Rater2,NIUse_Rater2,KCScore_Rater2,NIScore_Rater2
25,Pre,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
27,Pre,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0
28,Pre,1,1,0,0,1,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,3,0
29,Pre,1,1,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,2,0
30,Pre,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0
32,Pre,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1
33,Pre,0,1,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,1,1
34,Pre,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0
35,Pre,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0
36,Pre,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0
37,Pre,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0
38,Pre,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0
39,Pre,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0
1,Post,1,0,0,1,1,0,0,1,0,3,1,1,0,0,1,1,0,0,0,0,3,0
4,Post,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0
5,Post,1,1,0,0,1,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,2,0
6,Post,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7,Post,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0
8,Post,1,1,0,0,1,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0
9,Post,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
11,Post,1,1,0,0,1,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,3,0
12,Post,1,1,0,0,1,0,1,0,0,3,1,1,0,0,0,1,0,0,0,0,2,0
13,Post,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
14,Post,1,1,0,0,1,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,3,0
15,Post,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
16,Post,1,1,1,1,1,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,2,0
17,Post,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
18,Post,1,1,0,0,1,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,3,0
19,Post,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
20,Post,1,0,1,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0
21,Post,1,1,0,0,1,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,3,0
22,Post,1,1,0,0,1,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0
23,Post,1,0,1,1,1,0,0,0,0,4,0,1,0,1,1,1,0,0,0,0,4,0
24,Post,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
25,Post,1,1,0,0,1,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,3,0
27,Post,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0
28,Post,1,0,0,0,1,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,3,0
29,Post,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0
30,Post,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,3,0
32,Post,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0
33,Post,1,1,0,0,1,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,3,0
34,Post,1,1,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,2,0
35,Post,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
36,Post,1,1,1,1,1,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,2,0
37,Post,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0
38,Post,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
39,Post,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,2,0
