Subject,Time,Type,Variable,Score_Rater1,Score_Rater2
21,Post,KC,DiffSurvival,0,0
22,Post,KC,DiffSurvival,0,0
23,Post,KC,DiffSurvival,1,1
24,Post,KC,DiffSurvival,0,0
25,Post,KC,DiffSurvival,1,1
26,Post,KC,DiffSurvival,1,1
27,Post,KC,DiffSurvival,1,1
28,Post,KC,DiffSurvival,1,1
29,Post,KC,DiffSurvival,1,1
31,Post,KC,DiffSurvival,0,1
32,Post,KC,DiffSurvival,1,1
33,Post,KC,DiffSurvival,0,0
34,Post,KC,DiffSurvival,1,1
36,Post,KC,DiffSurvival,1,0
37,Post,KC,DiffSurvival,1,1
38,Post,KC,DiffSurvival,1,1
39,Post,KC,DiffSurvival,0,0
1,Pre,KC,NonAdaptive,0,0
2,Pre,KC,NonAdaptive,0,0
3,Pre,KC,NonAdaptive,0,0
4,Pre,KC,NonAdaptive,0,0
6,Pre,KC,NonAdaptive,0,1
7,Pre,KC,NonAdaptive,0,0
8,Pre,KC,NonAdaptive,0,0
9,Pre,KC,NonAdaptive,0,0
10,Pre,KC,NonAdaptive,0,0
11,Pre,KC,NonAdaptive,0,0
12,Pre,KC,NonAdaptive,0,1
13,Pre,KC,NonAdaptive,0,0
14,Pre,KC,NonAdaptive,0,0
15,Pre,KC,NonAdaptive,0,0
16,Pre,KC,NonAdaptive,0,0
17,Pre,KC,NonAdaptive,0,0
18,Pre,KC,NonAdaptive,0,0
19,Pre,KC,NonAdaptive,0,0
20,Pre,KC,NonAdaptive,0,0
21,Pre,KC,NonAdaptive,0,0
22,Pre,KC,NonAdaptive,0,0
23,Pre,KC,NonAdaptive,0,0
24,Pre,KC,NonAdaptive,0,0
25,Pre,KC,NonAdaptive,0,0
26,Pre,KC,NonAdaptive,0,0
27,Pre,KC,NonAdaptive,0,0
28,Pre,KC,NonAdaptive,0,0
29,Pre,KC,NonAdaptive,0,0
31,Pre,KC,NonAdaptive,0,0
32,Pre,KC,NonAdaptive,0,0
33,Pre,KC,NonAdaptive,0,0
34,Pre,KC,NonAdaptive,0,0
36,Pre,KC,NonAdaptive,0,0
37,Pre,KC,NonAdaptive,0,0
38,Pre,KC,NonAdaptive,0,0
39,Pre,KC,NonAdaptive,0,0
1,Post,KC,NonAdaptive,0,0
2,Post,KC,NonAdaptive,0,0
3,Post,KC,NonAdaptive,0,0
4,Post,KC,NonAdaptive,0,0
6,Post,KC,NonAdaptive,0,0
7,Post,KC,NonAdaptive,0,0
8,Post,KC,NonAdaptive,0,0
9,Post,KC,NonAdaptive,0,0
10,Post,KC,NonAdaptive,0,0
11,Post,KC,NonAdaptive,0,0
12,Post,KC,NonAdaptive,0,0
13,Post,KC,NonAdaptive,0,0
14,Post,KC,NonAdaptive,0,0
15,Post,KC,NonAdaptive,0,0
16,Post,KC,NonAdaptive,0,0
17,Post,KC,NonAdaptive,0,0
18,Post,KC,NonAdaptive,0,0
19,Post,KC,NonAdaptive,0,0
20,Post,KC,NonAdaptive,0,0
21,Post,KC,NonAdaptive,0,0
22,Post,KC,NonAdaptive,0,0
23,Post,KC,NonAdaptive,0,0
24,Post,KC,NonAdaptive,0,0
25,Post,KC,NonAdaptive,0,0
26,Post,KC,NonAdaptive,1,0
27,Post,KC,NonAdaptive,0,0
28,Post,KC,NonAdaptive,0,0
29,Post,KC,NonAdaptive,0,0
31,Post,KC,NonAdaptive,0,0
32,Post,KC,NonAdaptive,0,0
33,Post,KC,NonAdaptive,0,0
34,Post,KC,NonAdaptive,0,0
36,Post,KC,NonAdaptive,0,0
37,Post,KC,NonAdaptive,0,0
38,Post,KC,NonAdaptive,0,0
39,Post,KC,NonAdaptive,0,0
1,Pre,NI,Adapt,0,0
2,Pre,NI,Adapt,0,0
3,Pre,NI,Adapt,0,0
4,Pre,NI,Adapt,0,0
6,Pre,NI,Adapt,0,0
7,Pre,NI,Adapt,0,0
8,Pre,NI,Adapt,0,0
9,Pre,NI,Adapt,0,0
10,Pre,NI,Adapt,0,0
11,Pre,NI,Adapt,0,0
12,Pre,NI,Adapt,0,0
13,Pre,NI,Adapt,1,0
14,Pre,NI,Adapt,0,0
15,Pre,NI,Adapt,0,0
16,Pre,NI,Adapt,0,0
17,Pre,NI,Adapt,0,0
18,Pre,NI,Adapt,0,0
19,Pre,NI,Adapt,0,0
20,Pre,NI,Adapt,0,0
21,Pre,NI,Adapt,0,0
22,Pre,NI,Adapt,0,0
23,Pre,NI,Adapt,0,0
24,Pre,NI,Adapt,0,0
25,Pre,NI,Adapt,0,0
26,Pre,NI,Adapt,0,0
27,Pre,NI,Adapt,0,0
28,Pre,NI,Adapt,0,0
29,Pre,NI,Adapt,0,0
31,Pre,NI,Adapt,0,0
32,Pre,NI,Adapt,0,0
33,Pre,NI,Adapt,0,0
34,Pre,NI,Adapt,0,0
36,Pre,NI,Adapt,0,0
37,Pre,NI,Adapt,0,0
38,Pre,NI,Adapt,0,0
39,Pre,NI,Adapt,0,0
1,Post,NI,Adapt,0,0
2,Post,NI,Adapt,0,0
3,Post,NI,Adapt,0,0
4,Post,NI,Adapt,0,0
6,Post,NI,Adapt,0,0
7,Post,NI,Adapt,0,0
8,Post,NI,Adapt,0,0
9,Post,NI,Adapt,0,0
10,Post,NI,Adapt,0,0
11,Post,NI,Adapt,0,0
12,Post,NI,Adapt,0,0
13,Post,NI,Adapt,0,0
14,Post,NI,Adapt,0,0
15,Post,NI,Adapt,0,0
16,Post,NI,Adapt,0,0
17,Post,NI,Adapt,0,0
18,Post,NI,Adapt,0,0
19,Post,NI,Adapt,0,0
20,Post,NI,Adapt,0,0
21,Post,NI,Adapt,0,0
22,Post,NI,Adapt,0,0
23,Post,NI,Adapt,0,0
24,Post,NI,Adapt,0,0
25,Post,NI,Adapt,0,0
26,Post,NI,Adapt,0,0
27,Post,NI,Adapt,0,0
28,Post,NI,Adapt,0,0
29,Post,NI,Adapt,0,0
31,Post,NI,Adapt,0,0
32,Post,NI,Adapt,0,0
33,Post,NI,Adapt,0,0
34,Post,NI,Adapt,0,0
36,Post,NI,Adapt,0,0
37,Post,NI,Adapt,0,0
38,Post,NI,Adapt,0,0
39,Post,NI,Adapt,0,0
1,Pre,NI,Need,0,0
2,Pre,NI,Need,1,1
3,Pre,NI,Need,0,0
4,Pre,NI,Need,0,1
6,Pre,NI,Need,0,0
7,Pre,NI,Need,0,0
8,Pre,NI,Need,0,0
9,Pre,NI,Need,0,0
10,Pre,NI,Need,1,1
11,Pre,NI,Need,0,0
12,Pre,NI,Need,0,0
13,Pre,NI,Need,0,0
14,Pre,NI,Need,0,0
15,Pre,NI,Need,0,0
16,Pre,NI,Need,0,0
17,Pre,NI,Need,0,0
18,Pre,NI,Need,0,0
19,Pre,NI,Need,0,0
20,Pre,NI,Need,0,0
21,Pre,NI,Need,0,0
22,Pre,NI,Need,0,0
23,Pre,NI,Need,0,0
24,Pre,NI,Need,0,0
25,Pre,NI,Need,0,0
26,Pre,NI,Need,0,0
27,Pre,NI,Need,0,0
28,Pre,NI,Need,0,0
29,Pre,NI,Need,0,0
31,Pre,NI,Need,0,0
32,Pre,NI,Need,0,0
33,Pre,NI,Need,0,0
34,Pre,NI,Need,0,0
36,Pre,NI,Need,0,0
37,Pre,NI,Need,0,0
38,Pre,NI,Need,0,0
39,Pre,NI,Need,0,0
1,Post,NI,Need,0,0
2,Post,NI,Need,0,0
3,Post,NI,Need,0,0
4,Post,NI,Need,0,0
6,Post,NI,Need,0,0
7,Post,NI,Need,0,0
8,Post,NI,Need,0,0
9,Post,NI,Need,0,0
10,Post,NI,Need,1,1
11,Post,NI,Need,0,0
12,Post,NI,Need,0,0
13,Post,NI,Need,0,0
14,Post,NI,Need,0,0
15,Post,NI,Need,0,0
16,Post,NI,Need,0,0
17,Post,NI,Need,0,0
18,Post,NI,Need,0,0
19,Post,NI,Need,0,0
20,Post,NI,Need,0,0
21,Post,NI,Need,0,0
22,Post,NI,Need,0,0
23,Post,NI,Need,0,0
24,Post,NI,Need,0,0
25,Post,NI,Need,0,0
26,Post,NI,Need,0,0
27,Post,NI,Need,0,0
28,Post,NI,Need,0,0
29,Post,NI,Need,0,0
31,Post,NI,Need,0,0
32,Post,NI,Need,0,0
33,Post,NI,Need,0,0
34,Post,NI,Need,0,0
36,Post,NI,Need,0,0
37,Post,NI,Need,0,0
38,Post,NI,Need,0,0
39,Post,NI,Need,1,1
1,Pre,NI,Use,0,0
2,Pre,NI,Use,0,0
3,Pre,NI,Use,0,0
4,Pre,NI,Use,1,0
6,Pre,NI,Use,0,0
7,Pre,NI,Use,0,0
8,Pre,NI,Use,0,0
9,Pre,NI,Use,0,0
10,Pre,NI,Use,0,0
11,Pre,NI,Use,0,0
12,Pre,NI,Use,0,0
13,Pre,NI,Use,0,0
14,Pre,NI,Use,0,0
15,Pre,NI,Use,1,0
16,Pre,NI,Use,0,0
17,Pre,NI,Use,0,0
18,Pre,NI,Use,0,0
19,Pre,NI,Use,1,0
20,Pre,NI,Use,1,1
21,Pre,NI,Use,1,0
22,Pre,NI,Use,0,0
23,Pre,NI,Use,0,0
24,Pre,NI,Use,0,0
25,Pre,NI,Use,0,0
26,Pre,NI,Use,0,0
27,Pre,NI,Use,0,0
28,Pre,NI,Use,0,0
29,Pre,NI,Use,0,0
31,Pre,NI,Use,0,0
32,Pre,NI,Use,0,0
33,Pre,NI,Use,0,0
34,Pre,NI,Use,0,0
36,Pre,NI,Use,0,0
37,Pre,NI,Use,0,0
38,Pre,NI,Use,0,0
39,Pre,NI,Use,1,1
1,Post,NI,Use,0,0
2,Post,NI,Use,1,0
3,Post,NI,Use,0,0
4,Post,NI,Use,1,0
6,Post,NI,Use,0,0
7,Post,NI,Use,0,0
8,Post,NI,Use,0,0
9,Post,NI,Use,0,0
10,Post,NI,Use,0,0
11,Post,NI,Use,0,0
12,Post,NI,Use,0,0
13,Post,NI,Use,0,0
14,Post,NI,Use,0,0
15,Post,NI,Use,0,0
16,Post,NI,Use,0,0
17,Post,NI,Use,1,0
18,Post,NI,Use,1,0
19,Post,NI,Use,1,1
20,Post,NI,Use,1,0
21,Post,NI,Use,0,0
22,Post,NI,Use,1,0
23,Post,NI,Use,0,0
24,Post,NI,Use,0,0
25,Post,NI,Use,0,0
26,Post,NI,Use,0,0
27,Post,NI,Use,0,0
28,Post,NI,Use,0,0
29,Post,NI,Use,0,0
31,Post,NI,Use,0,0
32,Post,NI,Use,0,0
33,Post,NI,Use,0,0
34,Post,NI,Use,0,0
36,Post,NI,Use,0,0
37,Post,NI,Use,0,0
38,Post,NI,Use,0,0
39,Post,NI,Use,1,1
